group_representative,member,representative_artist,member_artist,hamming_distance,action,cross_artist
Albrecht_Du╠êrer_27.jpg,Albrecht_Dürer_27.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_27.jpg,Albrecht_Du╠êrer_27.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_198.jpg,Albrecht_Dürer_198.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_198.jpg,Albrecht_Du╠êrer_198.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_32.jpg,Albrecht_Du╠êrer_32.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_32.jpg,Albrecht_Dürer_32.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_453.jpg,Vincent_van_Gogh_636.jpg,Vincent_van_Gogh,Vincent_van_Gogh,2,remove,False
Vincent_van_Gogh_453.jpg,Vincent_van_Gogh_453.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Albrecht_Dürer_136.jpg,Albrecht_Du╠êrer_136.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_136.jpg,Albrecht_Dürer_136.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_325.jpg,Albrecht_Dürer_325.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_325.jpg,Albrecht_Du╠êrer_325.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_308.jpg,Vincent_van_Gogh_231.jpg,Vincent_van_Gogh,Vincent_van_Gogh,8,remove,False
Vincent_van_Gogh_308.jpg,Vincent_van_Gogh_308.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Albrecht_Dürer_48.jpg,Albrecht_Du╠êrer_48.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_48.jpg,Albrecht_Dürer_48.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Titian_202.jpg,Titian_201.jpg,Titian,Titian,4,remove,False
Titian_202.jpg,Titian_202.jpg,Titian,Titian,0,keep,False
Albrecht_Dürer_62.jpg,Albrecht_Du╠êrer_62.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_62.jpg,Albrecht_Dürer_62.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Pablo_Picasso_156.jpg,Pablo_Picasso_259.jpg,Pablo_Picasso,Pablo_Picasso,8,remove,False
Pablo_Picasso_156.jpg,Pablo_Picasso_156.jpg,Pablo_Picasso,Pablo_Picasso,0,keep,False
Edgar_Degas_204.jpg,Alfred_Sisley_23.jpg,Edgar_Degas,Alfred_Sisley,16,remove,True
Edgar_Degas_204.jpg,Edgar_Degas_141.jpg,Edgar_Degas,Edgar_Degas,6,remove,False
Edgar_Degas_204.jpg,Edgar_Degas_204.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Edgar_Degas_90.jpg,Edgar_Degas_645.jpg,Edgar_Degas,Edgar_Degas,2,remove,False
Edgar_Degas_90.jpg,Edgar_Degas_90.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_176.jpg,Albrecht_Dürer_176.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_176.jpg,Albrecht_Du╠êrer_176.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_96.jpg,Albrecht_Du╠êrer_96.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_96.jpg,Albrecht_Dürer_96.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_51.jpg,Albrecht_Dürer_51.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_51.jpg,Albrecht_Du╠êrer_51.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_569.jpg,Vincent_van_Gogh_369.jpg,Vincent_van_Gogh,Vincent_van_Gogh,8,remove,False
Vincent_van_Gogh_569.jpg,Vincent_van_Gogh_569.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Albrecht_Dürer_117.jpg,Albrecht_Du╠êrer_117.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_117.jpg,Albrecht_Dürer_117.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_282.jpg,Albrecht_Dürer_282.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_282.jpg,Albrecht_Du╠êrer_282.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_567.jpg,Edgar_Degas_571.jpg,Edgar_Degas,Edgar_Degas,2,remove,False
Edgar_Degas_567.jpg,Edgar_Degas_567.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_46.jpg,Albrecht_Dürer_46.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_46.jpg,Albrecht_Du╠êrer_46.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_601.jpg,Vincent_van_Gogh_214.jpg,Vincent_van_Gogh,Vincent_van_Gogh,4,remove,False
Vincent_van_Gogh_601.jpg,Vincent_van_Gogh_601.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Edgar_Degas_662.jpg,Edgar_Degas_435.jpg,Edgar_Degas,Edgar_Degas,6,remove,False
Edgar_Degas_662.jpg,Edgar_Degas_408.jpg,Edgar_Degas,Edgar_Degas,6,remove,False
Edgar_Degas_662.jpg,Edgar_Degas_662.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Dürer_42.jpg,Albrecht_Du╠êrer_42.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_42.jpg,Albrecht_Dürer_42.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_190.jpg,Albrecht_Du╠êrer_190.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_190.jpg,Albrecht_Dürer_190.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_699.jpg,Vincent_van_Gogh_326.jpg,Vincent_van_Gogh,Vincent_van_Gogh,6,remove,False
Vincent_van_Gogh_699.jpg,Vincent_van_Gogh_699.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Edgar_Degas_677.jpg,Edgar_Degas_447.jpg,Edgar_Degas,Edgar_Degas,6,remove,False
Edgar_Degas_677.jpg,Edgar_Degas_677.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_186.jpg,Albrecht_Dürer_186.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_186.jpg,Albrecht_Du╠êrer_186.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_78.jpg,Albrecht_Dürer_78.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_78.jpg,Albrecht_Du╠êrer_78.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_183.jpg,Albrecht_Dürer_183.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_183.jpg,Albrecht_Du╠êrer_183.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_316.jpg,Albrecht_Du╠êrer_316.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_316.jpg,Albrecht_Dürer_316.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_317.jpg,Albrecht_Du╠êrer_317.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_317.jpg,Albrecht_Dürer_317.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_505.jpg,Edgar_Degas_640.jpg,Edgar_Degas,Edgar_Degas,8,remove,False
Edgar_Degas_505.jpg,Edgar_Degas_505.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_241.jpg,Albrecht_Dürer_241.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_241.jpg,Albrecht_Du╠êrer_241.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_55.jpg,Albrecht_Du╠êrer_55.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_55.jpg,Albrecht_Dürer_55.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_224.jpg,Albrecht_Du╠êrer_224.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_224.jpg,Albrecht_Dürer_224.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_112.jpg,Edgar_Degas_642.jpg,Edgar_Degas,Edgar_Degas,4,remove,False
Edgar_Degas_112.jpg,Edgar_Degas_612.jpg,Edgar_Degas,Edgar_Degas,2,remove,False
Edgar_Degas_112.jpg,Edgar_Degas_112.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_92.jpg,Albrecht_Dürer_92.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_92.jpg,Albrecht_Du╠êrer_92.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_666.jpg,Edgar_Degas_427.jpg,Edgar_Degas,Edgar_Degas,8,remove,False
Edgar_Degas_666.jpg,Edgar_Degas_398.jpg,Edgar_Degas,Edgar_Degas,4,remove,False
Edgar_Degas_666.jpg,Edgar_Degas_666.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_17.jpg,Albrecht_Dürer_17.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_17.jpg,Albrecht_Du╠êrer_17.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_157.jpg,Albrecht_Du╠êrer_157.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_157.jpg,Albrecht_Dürer_157.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_328.jpg,Albrecht_Dürer_328.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_328.jpg,Albrecht_Du╠êrer_328.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_458.jpg,Vincent_van_Gogh_7.jpg,Vincent_van_Gogh,Vincent_van_Gogh,4,remove,False
Vincent_van_Gogh_458.jpg,Vincent_van_Gogh_458.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Edgar_Degas_619.jpg,Edgar_Degas_210.jpg,Edgar_Degas,Edgar_Degas,8,remove,False
Edgar_Degas_619.jpg,Edgar_Degas_619.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Rembrandt_241.jpg,Rembrandt_123.jpg,Rembrandt,Rembrandt,10,remove,False
Rembrandt_241.jpg,Rembrandt_190.jpg,Rembrandt,Rembrandt,6,remove,False
Rembrandt_241.jpg,Rembrandt_160.jpg,Rembrandt,Rembrandt,14,remove,False
Rembrandt_241.jpg,Rembrandt_185.jpg,Rembrandt,Rembrandt,18,remove,False
Rembrandt_241.jpg,Rembrandt_241.jpg,Rembrandt,Rembrandt,0,keep,False
Albrecht_Dürer_71.jpg,Albrecht_Du╠êrer_71.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_71.jpg,Albrecht_Dürer_71.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_322.jpg,Albrecht_Dürer_322.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_322.jpg,Albrecht_Du╠êrer_322.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_306.jpg,Albrecht_Dürer_306.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_306.jpg,Albrecht_Du╠êrer_306.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_431.jpg,Edgar_Degas_359.jpg,Edgar_Degas,Edgar_Degas,2,remove,False
Edgar_Degas_431.jpg,Edgar_Degas_105.jpg,Edgar_Degas,Edgar_Degas,6,remove,False
Edgar_Degas_431.jpg,Edgar_Degas_617.jpg,Edgar_Degas,Edgar_Degas,4,remove,False
Edgar_Degas_431.jpg,Edgar_Degas_431.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Dürer_273.jpg,Albrecht_Du╠êrer_273.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_273.jpg,Albrecht_Dürer_273.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_24.jpg,Edgar_Degas_362.jpg,Edgar_Degas,Edgar_Degas,4,remove,False
Edgar_Degas_24.jpg,Edgar_Degas_24.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Dürer_308.jpg,Albrecht_Du╠êrer_308.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_308.jpg,Albrecht_Dürer_308.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_690.jpg,Edgar_Degas_598.jpg,Edgar_Degas,Edgar_Degas,8,remove,False
Edgar_Degas_690.jpg,Edgar_Degas_83.jpg,Edgar_Degas,Edgar_Degas,2,remove,False
Edgar_Degas_690.jpg,Edgar_Degas_690.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Dürer_195.jpg,Albrecht_Du╠êrer_195.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_195.jpg,Albrecht_Dürer_195.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_12.jpg,Albrecht_Dürer_12.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_12.jpg,Albrecht_Du╠êrer_12.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_214.jpg,Albrecht_Du╠êrer_214.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_214.jpg,Albrecht_Dürer_214.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_261.jpg,Albrecht_Dürer_261.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_261.jpg,Albrecht_Du╠êrer_261.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_22.jpg,Albrecht_Du╠êrer_22.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_22.jpg,Albrecht_Dürer_22.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_266.jpg,Albrecht_Du╠êrer_266.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_266.jpg,Albrecht_Dürer_266.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_19.jpg,Edgar_Degas_59.jpg,Edgar_Degas,Edgar_Degas,10,remove,False
Edgar_Degas_19.jpg,Edgar_Degas_630.jpg,Edgar_Degas,Edgar_Degas,8,remove,False
Edgar_Degas_19.jpg,Edgar_Degas_19.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Dürer_267.jpg,Albrecht_Dürer_70.jpg,Albrecht_Dürer,Albrecht_Dürer,6,remove,False
Albrecht_Dürer_267.jpg,Albrecht_Du╠êrer_267.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_267.jpg,Albrecht_Du╠êrer_70.jpg,Albrecht_Dürer,Albrecht_Dürer,6,remove,False
Albrecht_Dürer_267.jpg,Albrecht_Dürer_267.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_172.jpg,Albrecht_Dürer_172.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_172.jpg,Albrecht_Du╠êrer_172.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_852.jpg,Vincent_van_Gogh_671.jpg,Vincent_van_Gogh,Vincent_van_Gogh,2,remove,False
Vincent_van_Gogh_852.jpg,Vincent_van_Gogh_852.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Albrecht_Dürer_112.jpg,Albrecht_Du╠êrer_112.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_112.jpg,Albrecht_Dürer_112.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_85.jpg,Albrecht_Dürer_85.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_85.jpg,Albrecht_Du╠êrer_85.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_553.jpg,Edgar_Degas_29.jpg,Edgar_Degas,Edgar_Degas,4,remove,False
Edgar_Degas_553.jpg,Edgar_Degas_553.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Dürer_123.jpg,Albrecht_Du╠êrer_123.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_123.jpg,Albrecht_Dürer_123.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_94.jpg,Albrecht_Dürer_94.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_94.jpg,Albrecht_Du╠êrer_94.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_31.jpg,Albrecht_Dürer_31.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_31.jpg,Albrecht_Du╠êrer_31.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_622.jpg,Edgar_Degas_32.jpg,Edgar_Degas,Edgar_Degas,6,remove,False
Edgar_Degas_622.jpg,Edgar_Degas_215.jpg,Edgar_Degas,Edgar_Degas,8,remove,False
Edgar_Degas_622.jpg,Edgar_Degas_622.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_240.jpg,Albrecht_Dürer_240.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_240.jpg,Albrecht_Du╠êrer_240.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_302.jpg,Albrecht_Du╠êrer_302.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_302.jpg,Albrecht_Dürer_302.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_201.jpg,Albrecht_Du╠êrer_201.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_201.jpg,Albrecht_Dürer_201.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_268.jpg,Albrecht_Du╠êrer_268.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_268.jpg,Albrecht_Dürer_268.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_314.jpg,Albrecht_Du╠êrer_314.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_314.jpg,Albrecht_Dürer_314.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_810.jpg,Vincent_van_Gogh_178.jpg,Vincent_van_Gogh,Vincent_van_Gogh,8,remove,False
Vincent_van_Gogh_810.jpg,Vincent_van_Gogh_810.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Vincent_van_Gogh_691.jpg,Vincent_van_Gogh_822.jpg,Vincent_van_Gogh,Vincent_van_Gogh,8,remove,False
Vincent_van_Gogh_691.jpg,Vincent_van_Gogh_691.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Albrecht_Du╠êrer_50.jpg,Albrecht_Dürer_50.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_50.jpg,Albrecht_Du╠êrer_50.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_105.jpg,Albrecht_Du╠êrer_105.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_105.jpg,Albrecht_Dürer_105.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Pablo_Picasso_169.jpg,Pablo_Picasso_397.jpg,Pablo_Picasso,Pablo_Picasso,4,remove,False
Pablo_Picasso_169.jpg,Pablo_Picasso_169.jpg,Pablo_Picasso,Pablo_Picasso,0,keep,False
Albrecht_Du╠êrer_138.jpg,Albrecht_Dürer_138.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_138.jpg,Albrecht_Du╠êrer_138.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_5.jpg,Albrecht_Du╠êrer_5.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_5.jpg,Albrecht_Dürer_5.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_211.jpg,Albrecht_Dürer_211.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_211.jpg,Albrecht_Du╠êrer_211.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_39.jpg,Albrecht_Dürer_39.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_39.jpg,Albrecht_Du╠êrer_39.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_602.jpg,Vincent_van_Gogh_857.jpg,Vincent_van_Gogh,Vincent_van_Gogh,10,remove,False
Vincent_van_Gogh_602.jpg,Vincent_van_Gogh_602.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Titian_196.jpg,Titian_197.jpg,Titian,Titian,0,remove,False
Titian_196.jpg,Titian_196.jpg,Titian,Titian,0,keep,False
Pablo_Picasso_269.jpg,Pablo_Picasso_314.jpg,Pablo_Picasso,Pablo_Picasso,8,remove,False
Pablo_Picasso_269.jpg,Pablo_Picasso_321.jpg,Pablo_Picasso,Pablo_Picasso,0,remove,False
Pablo_Picasso_269.jpg,Pablo_Picasso_269.jpg,Pablo_Picasso,Pablo_Picasso,0,keep,False
Albrecht_Du╠êrer_68.jpg,Albrecht_Dürer_68.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_68.jpg,Albrecht_Du╠êrer_68.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_697.jpg,Edgar_Degas_108.jpg,Edgar_Degas,Edgar_Degas,10,remove,False
Edgar_Degas_697.jpg,Edgar_Degas_697.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_86.jpg,Albrecht_Dürer_86.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_86.jpg,Albrecht_Du╠êrer_86.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Dürer_222.jpg,Albrecht_Du╠êrer_222.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Dürer_222.jpg,Albrecht_Dürer_222.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_591.jpg,Edgar_Degas_463.jpg,Edgar_Degas,Edgar_Degas,2,remove,False
Edgar_Degas_591.jpg,Edgar_Degas_591.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
Albrecht_Du╠êrer_79.jpg,Albrecht_Dürer_79.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_79.jpg,Albrecht_Du╠êrer_79.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
